tempo,pwm,periodo
380.63,202,197128
380.82,202,188000
381.00,202,164324
381.19,203,174072
381.38,203,186528
381.55,203,163632
381.77,203,196736
381.98,203,205856
382.18,203,173528
382.37,203,196060
382.57,203,173700
382.77,203,174372
382.99,203,196444
383.19,203,195792
383.39,203,195872
383.58,203,185504
383.77,203,195804
383.97,203,195540
384.14,203,163616
384.34,203,174492
384.52,203,185212
384.72,203,186504
384.89,203,172852
385.08,203,163940
385.28,203,185864
385.45,203,163668
385.64,203,185728
385.83,203,185432
386.04,204,196880
386.20,204,161976
386.42,204,195116
386.63,204,195632
386.82,204,172408
387.01,204,183932
387.20,204,183836
387.40,204,184732
387.60,204,205172
387.79,204,183808
387.96,204,163004
388.14,204,162252
388.34,204,185108
388.51,204,162172
388.71,204,172636
388.90,204,172812
389.10,204,193908
389.28,204,184552
389.45,204,161880
389.64,204,184548
389.84,204,194840
390.01,204,171688
390.20,204,184704
390.37,204,171968
390.56,204,173300
390.78,204,195440
390.98,204,194308
391.17,205,185012
391.34,205,169576
391.53,205,192008
391.73,205,191644
391.92,205,193580
392.11,205,192056
392.31,205,170472
392.50,205,170800
392.69,205,192424
392.89,205,192344
393.08,205,192128
393.26,205,182252
393.47,205,193260
393.65,205,182472
393.84,205,183832
394.01,205,169744
394.21,205,192320
394.40,205,192668
394.58,205,181900
394.79,205,194356
394.98,205,191156
395.16,205,160496
395.33,205,170256
395.55,205,214624
395.72,205,161408
395.91,205,170568
396.11,206,191888
396.30,206,189700
396.45,206,157256
396.64,206,168240
396.83,206,188668
397.02,206,189188
397.21,206,188600
397.40,206,188724
397.59,206,168412
397.77,206,178912
397.97,206,200032
398.16,206,187332
398.35,206,168348
398.54,206,168544
398.73,206,167540
398.91,206,179388
399.08,206,157884
399.29,206,189892
399.46,206,158196
399.65,206,167184
399.84,206,167956
400.03,206,167072
400.21,206,179764
400.40,206,179544
400.56,206,166640
400.78,206,190192
400.94,206,166628
401.13,207,188984
401.34,207,207944
401.51,207,156328
401.69,207,156948
401.88,207,187320
402.06,207,177724
402.25,207,187028
402.45,207,187564
402.63,207,177828
402.79,207,156628
402.97,207,177488
403.16,207,178216
403.35,207,179444
403.51,207,164800
403.70,207,187212
403.88,207,178172
404.04,207,164888
404.22,207,177936
404.39,207,156596
